Target,Text,Text_es
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","Ve hasta Jurong Point, loco... Disponible solo en Bugis y Great World, el buffet... En el cine hay Amore, ¿sabes?"
ham,Ok lar... Joking wif u oni...,"Está bien, amigo... Solo bromeando contigo..."
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,Entrada gratuita en un concurso semanal para ganar entradas para la final de la FA Cup el 21 de mayo de 2005. Envía FA al 87121 para recibir la pregunta de entrada (tarifa de texto estándar). Se aplican términos y condiciones. 08452810075 mayores de 18 años.
ham,U dun say so early hor... U c already then say...,"Tú no dices tan temprano, ¿eh? Tú ya puedes decirlo entonces..."
ham,"Nah I don't think he goes to usf, he lives around here though","No, no creo que él vaya a USF, aunque vive por aquí."
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Ã¥Â£1.50 to rcv","FreeMsg Hola cariño, han pasado 3 semanas y no he recibido noticias. ¡Me gustaría un poco de diversión, ¿todavía estás dispuesto? Tb está bien. XxX cargos estándar para enviar, £1.50 para recibir."
ham,Even my brother is not like to speak with me. They treat me like aids patent.,Incluso mi hermano no quiere hablar conmigo. Me tratan como si fuera un paciente de SIDA.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,"Según tu solicitud, 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido configurada como tu tono de llamada para todos los que te llamen. Presiona *9 para copiar el tono de llamada de tus amigos."
spam,WINNER!! As a valued network customer you have been selected to receivea Ã¥Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,"¡GANADOR! Como cliente valioso de la red, ha sido seleccionado para recibir un premio de £900. Para reclamar, llame al 09061701461. Código de reclamación KL341. Válido solo por 12 horas."
spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,¿Tienes tu móvil desde hace 11 meses o más? Tienes derecho a actualizar a los últimos móviles de color con cámara de forma gratuita. Llama a The Mobile Update Co GRATIS al 08002986030.
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","Voy a estar en casa pronto y no quiero hablar más de estas cosas esta noche, ¿vale? He llorado suficiente hoy."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","¡SEIS oportunidades para ganar DINERO EN EFECTIVO! De 100 a 20,000 libras, envía CSH11 al 87575. Costo 150p/día, 6 días, mayores de 16 años. Se aplican términos y condiciones. Responde HL para más información."
spam,"URGENT! You have won a 1 week FREE membership in our Ã¥Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","¡URGENTE! ¡Has ganado una membresía GRATUITA de 1 semana en nuestro premio acumulado de £100,000! Envía la palabra: RECLAMAR al número: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,He estado buscando las palabras adecuadas para agradecerte por este respiro. Te prometo que no daré por sentado tu ayuda y cumpliré mi promesa. Has sido maravilloso y una bendición en todo momento.
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,TENGO UNA CITA EL DOMINGO CON WILL!!
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","XXXMobileMovieClub: Para usar tu crédito, haz clic en el enlace WAP en el siguiente mensaje de texto o haz clic aquí>> http://wap.xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,Oh k...i'm watching here:),"Oh, qué... estoy mirando aquí :)"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,"Eh, ¿recuerdas cómo se escribe su nombre...? Sí, lo hice. Él es muy travieso, me hace sentir así hasta que estoy mojada."
ham,Fine if thatÃ¥Ãs the way u feel. ThatÃ¥Ãs the way its gota b,Está bien si así te sientes. Así es como tiene que ser.
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ÃÂ¼1.20 POBOXox36504W45WQ 16+","Inglaterra vs Macedonia - no te pierdas los goles/noticias del equipo. Envía un mensaje de texto a tu selección nacional al 87077, por ejemplo, INGLATERRA al 87077. Prueba: Gales, Escocia 4txt/£1.20 POBOX 36504 W45WQ 16+"
ham,Is that seriously how you spell his name?,¿Es en serio así como se escribe su nombre?
ham,Iâ°ÃÃ·m going to try for 2 months ha ha only joking,"Voy a intentar durante 2 meses, ja ja, solo bromeando."
ham,So Ã_ pay first lar... Then when is da stock comin...,"Así que pago primero, lar... Entonces, ¿cuándo llega la mercancía?"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"Después de que termine mi almuerzo, entonces voy directo por la calle. Alrededor de las 3 más o menos. ¿Ya terminaste tu almuerzo?"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,"Ffffffffff. ¿Está bien, no hay forma de que pueda reunirme contigo antes?"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,"Simplemente me obligué a comer una rebanada. Realmente no tengo hambre, aunque. Esto apesta. Mark está preocupado. Sabe que estoy enfermo cuando rechazo la pizza. Jaja."
ham,Lol your always so convincing.,"Jaja, siempre eres tan convincente."
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,¿Tomaste el autobús? ¿Estás friendo un huevo? ¿Hiciste un té? ¿Estás comiendo la cena que sobró de tu mamá? ¿Sientes mi amor?
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Estoy de vuelta y estamos empacando el coche ahora, te haré saber si hay espacio."
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. Trabajo. ¡Lo recuerdo vagamente! ¿Cómo se siente? Jaja.
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Espera, eso todavía no está del todo claro, ¿no estabas seguro de si era sarcástico o de que esa es la razón por la que X no quiere vivir con nosotros?"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Sí, llegó a las 2 y estaba muy arrepentido. Ella se había enojado y estaba actuando como una niña consentida, y él se vio atrapado en eso. ¡Hasta las 2! Pero no vamos a entrar en eso. No me va tan mal, gracias. ¿Y tú?"
ham,K tell me anything about you.,"K, cuéntame algo sobre ti."
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,"¿Tienes miedo de desmayarte con todo el trabajo de casa que acabas de hacer? Rápido, tómate una taza de té."
